object_number,record_type,number_of_parts,object_category,object_name,title,description,material.part,condition.part,creator,creator.qualifier,creator.role,production.place,production.period,production.date.start,production.date.start.prec,production.date.end,production.date.end.prec,part_of_reference,parts_reference,current_location
2.1,single object,1,Furniture and Furnishings,Fireplace,,A stained dark oak fireplace with coloured glass inserts and white ceramic tile mosaic surround.,,,"Mackintosh, Charles Rennie",,Designer,,Early 20th century,1903,,1903,,,,Hill House / Library
2.2,set,7,Furniture and Furnishings,Shelf Unit,,"A set of seven units, consisting of two cupboards, four shelving units and a fireplace mantel.",,,"Mackintosh, Charles Rennie",,Designer,,,,,,,,2.2.1,Hill House / See Separate Records for Locations of Parts
2.2.1,single object,1,Furniture and Furnishings,Shelf Unit,,"One of a set of seven units. A dark stained oak shelving unit. The unit is in two sections with six shelves, the top panel has coloured glass inserts and the bottom of each section has a shelf with a door and round metal handle.",,,"Mackintosh, Charles Rennie",,Designer,,,,,,,2.2,,Hill House / Library
2.2.2,single object,1,Furniture and Furnishings,Cupboard,,One of a set of seven units. A dark oak stained cupboard with two doors and a rectangular central panel on each with coloured glass inserts. On either side of the door there is a thin tapering strip of wood reminiscent of a stem with three pierced squares.,,,"Mackintosh, Charles Rennie",,Designer,,,,,,,2.2,,Hill House / Library
2.2.3,single object,1,Furniture and Furnishings,Shelf Unit,,"One of a set of seven units. A dark stained oak shelving unit. The unit is in two sections with six shelves, the top panel has coloured glass inserts and the bottom of each section has a shelf with a door and round metal handle.",,,"Mackintosh, Charles Rennie",,Designer,,,,,,,2.2,,Hill House / Library
2.2.4,single object,1,Furniture and Furnishings,Shelf Unit,,"One of a set of seven units. A dark stained oak shelving unit. The unit is in two sections with six shelves, the top panel has coloured glass inserts and the bottom of each section has a shelf with a door and round metal handle.",,,"Mackintosh, Charles Rennie",,Designer,,,,,,,2.2,,Hill House / Library
2.2.5,single object,1,Furniture and Furnishings,Mantel Border,,"One of a set of seven units. A stained oak fireplace mantel. The mantel has a top shelf with twelve square pigeon holes underneath. On the left hand side of the surround there is a rectangular desk drawer which folds out, the door of the desk drawer has three square coloured glass inserts. Underneath the desk there is a pull out desk support and two rows of four storage compartments. On the the right hand side of the surround there is a cupoard with a door, the door has a rectangular panel with three square coloured glass inserts. The cupboard has two shelves inside, underneath the cupboard there is three storage compartments.",,,"Mackintosh, Charles Rennie",,Designer,,,,,,,2.2,,Hill House / Library
2.2.6,single object,1,Furniture and Furnishings,Shelf Unit,,"One of a set of seven units. A dark stained oak shelving unit. The unit is in two sections with six shelves, the top panel has coloured glass inserts and the bottom of each section has a shelf with a door and round metal handle.",,,"Mackintosh, Charles Rennie",,Designer,,,,,,,2.2,,Hill House / Library
2.2.7,single object,1,Furniture and Furnishings,Cupboard,,One of a set of seven units. A dark oak stained cupboard with two doors and a rectangular central panel on each with coloured glass inserts. On either side of the door there is a thin tapering strip of wood reminiscent of a stem with three pierced squares.,,,"Mackintosh, Charles Rennie",,Designer,,,,,,,2.2,,Hill House / Library
2.5.1,single object,1,Furniture and Furnishings,Easy Armchair,,"One of a set of two easy armchair made from walnut with an arched padded back, two armrests and four turned baluster supports with brass caps and castors. The armchair is upholstered in a cream linen and has a bowed seat.",,,,,,,Late 19th century,1870,,1899,,2.5,,Hill House / Library
2.5.2,single object,1,Furniture and Furnishings,Easy Armchair,,"One of a set of two easy armchair, made from walnut with an arched padded back, two armrests and four turned baluster supports with brass caps and castors. The armchair is upholestered in a cream linen and has a bowed seat.",,,,,,,Late 19th century,1870,,1899,,2.5,,Hill House / Library
2.6,single object,1,Furniture and Furnishings,Box,,"A wooden rectangular trinket box with a hinged lid and a metal clasp on the front. The top of the lid is painted with a floral decoration and an illustrated card which reads ""A Friends Wish...In friendship let me send this gift, to show my best endeavour, to prove that friendship can be true tho', distance may us sever.""",,,,,,,Early 20th century,1900,,1929,,,,Hill House / Library
2.7,single object,1,Furniture and Furnishings,Box,,"A red glazed wooden box in the shape of a chestnut. Flat bottom, pointed tip and three lines engraved around the body.",,,,,,,20th century,1900,,1999,,,,Hill House / Library
2.9,single object,1,Fire and Fireplace,Fender,,A black iron fender with scrolling decoration.,,,,,,,Early 20th century,1900,,1929,,,,Hill House / Library
2.1,single object,1,Fire and Fireplace,Fire Iron,,"A metal fire iron with a twisted body, curved end and a looped handle.",,,,,,,Early 20th century,1900,,1929,,,,Hill House / Library
2.11.1,single object,1,Decorative Arts,Plate,,A plain circular brass plate with lip round the edge.,,,,,,,Late 19th century,1870,,1899,,,,Hill House / Library
2.11.2,single object,1,Decorative Arts,Taper Box,,A brass taper box with a lid. The box is D shaped and is mounted on a back with a hook at the top.,,,,,,,,,,,,,,Hill House / Library
2.11.3,single object,1,Decorative Arts,Tobacco Box,,A rectangular brass tobacco with an embossed decoration around the edge. There is an illegible name engraved with dots on the front. The box has a lid attached with brass hinges.,,,,,,,,,,,,,,Hill House / Library
2.11.4,single object,1,Decorative Arts,Candle Sconce,,A brass candle scone with a cylindrical candle holder attached to a semicircular tray. The candle sconce has an engraved decoration around the rim.,,,,,,,,,,,,,,Hill House / Library
2.12,single object,1,Lighting,Candlestick,,"A brass chamber candlestick with a raised lip, ribbed column and square base.",,,,,,,Late 19th century,1870,,1899,,,,Hill House / Library
2.13,single object,1,"Cooking, Dining and Drinking",Liqueur Cup,,A miniature brass liqueur cup with a trumpet shaped bowl and a baluster stem on a stepped foot.,,,,,,,Late 19th century,1870,,1899,,,,Hill House / Library
2.14,single object,1,Decorative Arts,Bougie Box,,"A round brass bougie box with a lid. The bougie box has a looped handle, a metal finial on the lid, is decorated with horizontal stripes of brass, and the handle and lid has a relief decoration of figures. The bottom of the box is engraved with ""THE ROYAL PERFECTED BOUGIE BOX.""",,,,,,,Late 19th century,1870,,1899,,,,Hill House / Library
2.15,single object,1,"Cooking, Dining and Drinking",Chestnut Roaster,,"A brass chestnut roaster with a flat handle with a pierced end and a flat round roasting case with a lid on a metal hinge. The lid and case are both pierced with holes, with those on the lid in the shape of a flower.",,,,,,,Late 19th century,1870,,1899,,,,Hill House / Library
2.17,single object,1,Photography,Photographic Print,,A black and white photographic print of Margaret MacDonald Mackintosh. The print is mounted in a black wooden frame.,,,,,,,20th century,1900,,1999,,,,Hill House / Library
2.18,single object,2,Photography,Photographic Print,,A black and white photographic print of Mr Blackie in the Hill House garden. The print is mounted in a black wooden frame with a pedestal.,,,,,,,,,,,,,,Hill House / Library
2.21,single object,1,Furniture and Furnishings,Fireplace,,A white painted pine fireplace with steel grate. The mosaic surround has five ovals of pink and white coloured glass and mirrored glass as well as strips of burnished steel with cut out oval decoration at either side of the grate from which the fire irons hang.,,,"Craig, John",Probably,Maker,,Early 20th century,1903,,1903,,,,Hill House / Drawing Room
