,ID,creator,current_location,description,object_category,object_name,production_date_end,production_date_start,production_place
0,2.1,"Mackintosh, Charles Rennie",Hill House / Library,A stained dark oak fireplace with coloured glass inserts and white ceramic tile mosaic surround.,Furniture and Furnishings,Fireplace,1903,1903,Unknown
1,2.2,"Mackintosh, Charles Rennie",Hill House / See Separate Records for Locations of Parts,"A set of seven units, consisting of two cupboards, four shelving units and a fireplace mantel.",Furniture and Furnishings,Shelf Unit,0000,0000,Unknown
2,2.2.1,"Mackintosh, Charles Rennie",Hill House / Library,"One of a set of seven units. A dark stained oak shelving unit. The unit is in two sections with six shelves, the top panel has coloured glass inserts and the bottom of each section has a shelf with a door and round metal handle.",Furniture and Furnishings,Shelf Unit,0000,0000,Unknown
3,2.2.2,"Mackintosh, Charles Rennie",Hill House / Library,One of a set of seven units. A dark oak stained cupboard with two doors and a rectangular central panel on each with coloured glass inserts. On either side of the door there is a thin tapering strip of wood reminiscent of a stem with three pierced squares.,Furniture and Furnishings,Cupboard,0000,0000,Unknown
4,2.2.3,"Mackintosh, Charles Rennie",Hill House / Library,"One of a set of seven units. A dark stained oak shelving unit. The unit is in two sections with six shelves, the top panel has coloured glass inserts and the bottom of each section has a shelf with a door and round metal handle.",Furniture and Furnishings,Shelf Unit,0000,0000,Unknown
5,2.2.4,"Mackintosh, Charles Rennie",Hill House / Library,"One of a set of seven units. A dark stained oak shelving unit. The unit is in two sections with six shelves, the top panel has coloured glass inserts and the bottom of each section has a shelf with a door and round metal handle.",Furniture and Furnishings,Shelf Unit,0000,0000,Unknown
6,2.2.5,"Mackintosh, Charles Rennie",Hill House / Library,"One of a set of seven units. A stained oak fireplace mantel. The mantel has a top shelf with twelve square pigeon holes underneath. On the left hand side of the surround there is a rectangular desk drawer which folds out, the door of the desk drawer has three square coloured glass inserts. Underneath the desk there is a pull out desk support and two rows of four storage compartments. On the the right hand side of the surround there is a cupoard with a door, the door has a rectangular panel with three square coloured glass inserts. The cupboard has two shelves inside, underneath the cupboard there is three storage compartments.",Furniture and Furnishings,Mantel Border,0000,0000,Unknown
7,2.2.6,"Mackintosh, Charles Rennie",Hill House / Library,"One of a set of seven units. A dark stained oak shelving unit. The unit is in two sections with six shelves, the top panel has coloured glass inserts and the bottom of each section has a shelf with a door and round metal handle.",Furniture and Furnishings,Shelf Unit,0000,0000,Unknown
8,2.2.7,"Mackintosh, Charles Rennie",Hill House / Library,One of a set of seven units. A dark oak stained cupboard with two doors and a rectangular central panel on each with coloured glass inserts. On either side of the door there is a thin tapering strip of wood reminiscent of a stem with three pierced squares.,Furniture and Furnishings,Cupboard,0000,0000,Unknown
9,2.5.1,Unknown,Hill House / Library,"One of a set of two easy armchair made from walnut with an arched padded back, two armrests and four turned baluster supports with brass caps and castors. The armchair is upholstered in a cream linen and has a bowed seat.",Furniture and Furnishings,Easy Armchair,1899,1870,Unknown
10,2.5.2,Unknown,Hill House / Library,"One of a set of two easy armchair, made from walnut with an arched padded back, two armrests and four turned baluster supports with brass caps and castors. The armchair is upholestered in a cream linen and has a bowed seat.",Furniture and Furnishings,Easy Armchair,1899,1870,Unknown
11,2.6,Unknown,Hill House / Library,"A wooden rectangular trinket box with a hinged lid and a metal clasp on the front. The top of the lid is painted with a floral decoration and an illustrated card which reads ""A Friends Wish...In friendship let me send this gift, to show my best endeavour, to prove that friendship can be true tho', distance may us sever.""",Furniture and Furnishings,Box,1929,1900,Unknown
12,2.7,Unknown,Hill House / Library,"A red glazed wooden box in the shape of a chestnut. Flat bottom, pointed tip and three lines engraved around the body.",Furniture and Furnishings,Box,1999,1900,Unknown
13,2.9,Unknown,Hill House / Library,A black iron fender with scrolling decoration.,Fire and Fireplace,Fender,1929,1900,Unknown
14,2.1,Unknown,Hill House / Library,"A metal fire iron with a twisted body, curved end and a looped handle.",Fire and Fireplace,Fire Iron,1929,1900,Unknown
15,2.11.1,Unknown,Hill House / Library,A plain circular brass plate with lip round the edge.,Decorative Arts,Plate,1899,1870,Unknown
16,2.11.2,Unknown,Hill House / Library,A brass taper box with a lid. The box is D shaped and is mounted on a back with a hook at the top.,Decorative Arts,Taper Box,0000,0000,Unknown
17,2.11.3,Unknown,Hill House / Library,A rectangular brass tobacco with an embossed decoration around the edge. There is an illegible name engraved with dots on the front. The box has a lid attached with brass hinges.,Decorative Arts,Tobacco Box,0000,0000,Unknown
18,2.11.4,Unknown,Hill House / Library,A brass candle scone with a cylindrical candle holder attached to a semicircular tray. The candle sconce has an engraved decoration around the rim.,Decorative Arts,Candle Sconce,0000,0000,Unknown
19,2.12,Unknown,Hill House / Library,"A brass chamber candlestick with a raised lip, ribbed column and square base.",Lighting,Candlestick,1899,1870,Unknown
20,2.13,Unknown,Hill House / Library,A miniature brass liqueur cup with a trumpet shaped bowl and a baluster stem on a stepped foot.,"Cooking, Dining and Drinking",Liqueur Cup,1899,1870,Unknown
21,2.14,Unknown,Hill House / Library,"A round brass bougie box with a lid. The bougie box has a looped handle, a metal finial on the lid, is decorated with horizontal stripes of brass, and the handle and lid has a relief decoration of figures. The bottom of the box is engraved with ""THE ROYAL PERFECTED BOUGIE BOX.""",Decorative Arts,Bougie Box,1899,1870,Unknown
22,2.15,Unknown,Hill House / Library,"A brass chestnut roaster with a flat handle with a pierced end and a flat round roasting case with a lid on a metal hinge. The lid and case are both pierced with holes, with those on the lid in the shape of a flower.","Cooking, Dining and Drinking",Chestnut Roaster,1899,1870,Unknown
23,2.17,Unknown,Hill House / Library,A black and white photographic print of Margaret MacDonald Mackintosh. The print is mounted in a black wooden frame.,Photography,Photographic Print,1999,1900,Unknown
24,2.18,Unknown,Hill House / Library,A black and white photographic print of Mr Blackie in the Hill House garden. The print is mounted in a black wooden frame with a pedestal.,Photography,Photographic Print,0000,0000,Unknown
25,2.21,"Craig, John",Hill House / Drawing Room,A white painted pine fireplace with steel grate. The mosaic surround has five ovals of pink and white coloured glass and mirrored glass as well as strips of burnished steel with cut out oval decoration at either side of the grate from which the fire irons hang.,Furniture and Furnishings,Fireplace,1903,1903,Unknown
26,2.22.1,"Mackintosh, Charles Rennie",Hill House / Drawing Room,An ebonised wood easy armchair with mother-of-pearl square inlay and beige chenille upholstery. Padded back with padded scrolled armrests and upholstered seat. The chair has square twin end supports and two front legs were later added.,Furniture and Furnishings,Armchair,1905,1905,Unknown
27,2.22.2,"Mackintosh, Charles Rennie",Hill House / Drawing Room,An ebonised wood easy armchair with mother-of-pearl square inlay and beige chenille upholstery. Padded back with padded scrolled armrests and upholstered seat. The chair has square twin end supports and two front legs were later added.,Furniture and Furnishings,Armchair,1905,1905,Unknown
28,2.23,"Jack, William",Hill House / Drawing Room,"A white painted pine window table with coloured glass inserts, two tapering legs, two shelves, a top apron with square inserts and one square drawer with a metal handle. The table is fitted to the wall beneath a window.",Furniture and Furnishings,Table,1903,1903,Unknown
29,2.24,"Mackintosh, Charles Rennie",Hill House / See Separate Records for Locations of Parts,A pair of ebonised oak armchairs.,Furniture and Furnishings,Armchair,0000,0000,Unknown
30,2.24.1,"Mackintosh, Charles Rennie",Hill House / Drawing Room,One of a set of two armchairs. An ebonised oak armchair with rectangular tapering padded back and upholestered seat. The seat is upholestered with a cream chenille. The chair is flanked by armrests. The chair has turned supports joined by twin turned front stretchers and the sides have four turned stretchers.,Furniture and Furnishings,Armchair,1904,1904,Unknown
31,2.24.2,"Mackintosh, Charles Rennie",Hill House / Drawing Room,One of a set of two armchairs. An ebonised oak armchair with rectangular tapering padded back and upholestered seat. The seat is upholestered with a cream chenille. The chair is flanked by armrests. The chair has turned supports joined by twin turned front stretchers and the sides have four turned stretchers.,Furniture and Furnishings,Armchair,1904,1904,Unknown
32,2.26.1,"Jack, William",Hill House / Drawing Room,A white painted wooden window seat. The seat has a rectangular padded back above cushioned seats and rests on square supports flanked on either side by rectangular columns. The rectangular columns are headed by stylised flowerheads each carved with four rectangular medallions. The sides of the seat are fitted with three open book divisions. The seat is upholersted with straw coloured hessian and decorated with a pink rose stencil. The whole is reconstructed based on the original.,Furniture and Furnishings,Window Seat,1903,1903,"Arundel, Sussex, England"
33,2.26.2,"Jack, William",Hill House / Daughter's Bedroom,A seat cover for the window seat in the Hill House Drawing Room. The seat cover has a brown hessian backing with a stencilled cube border running around three edges and on the main body there is a stencilled stylised rose and leaf motif in pink and green.,Furniture and Furnishings,Seat Cover,1903,1903,"Arundel, Sussex, England"
34,2.27.1,"Mackintosh, Charles Rennie",Hill House / Drawing Room,A standard lamp made from sycamore and fruitwood which was designed by Charles Rennie Mackintosh and made by John Craig. The lamp has a rectangular top enclosing a silvered reservoir and is inlaid with rectangular panels of mother-of-pearl. The lamp is supported by four square columns which are joined by stretchers repeating the motif.,Furniture and Furnishings,Standard Lamp,1905,1905,Unknown
35,2.27.2,"Mackintosh, Charles Rennie",Hill House / Drawing Room,A copy of the original lamp shade for the Hill House Drawing Room. White cotton with pink roses and green leaves with a black ribbon to form a trellis. Brass beads are sewn in to the decoration.,Household Textiles,Lamp Shade,1905,1905,Unknown
36,2.29,"Broadwood, John & Sons",Hill House / Drawing Room,A wooden piano stool with two side hand rails and four square tapering supports. The seat is square and covered with red cotton upholstery. The seat is a lid with storage space underneath.,Furniture and Furnishings,Stool,1930,1925,Unknown
37,2.3,John Broadwood & Sons,Hill House / Drawing Room,"An ebonised wood grand piano with a boudoir top and ivory and ebony keys, with four square tapering supports and brass caps and castors.",Furniture and Furnishings,Grand Piano,1930,1925,Unknown
38,2.31.2,"Mackintosh, Charles Rennie",Hill House / Daughter's Bedroom,One of a set. A key for the cabinet door made of beaten metal with a stirrup shaped handle.,Furniture and Furnishings,Key,1904,1904,Unknown
39,2.32,"Mackintosh, Charles Rennie",Hill House / Drawing Room,"A centre table made from ebonised wood and inlaid with mother-of-pearl. The table has a rectangular top inlaid with four mother-of-pearl rectangles, four square supports inlaid with mother-of-pearl rectangles and is fitted with four shelves.",Furniture and Furnishings,Table,1908,1908,Unknown
40,2.34.1,"Mackintosh, Charles Rennie",Hill House / Drawing Room,A polished steel poker with a square handle and a pointed tip.,Fire and Fireplace,Poker,1903,1903,Unknown
41,2.34.2,"Mackintosh, Charles Rennie",Hill House / Drawing Room,A pair of polished steel tongs with looped oval handles and flat round ends.,Fire and Fireplace,Tongs,1903,1903,Unknown
42,2.35,"Mackintosh, Charles Rennie",Hill House / Drawing Room,A polished steel fender with squared edges.,Fire and Fireplace,Fender,1903,1903,Unknown
43,2.36.1,"Mackintosh, Charles Rennie",Hill House / Drawing Room,One of a set of five wall light fittings. The fitting is a cuboid and made of silvered metal and leaded glass. The light is fitted with an opaque glass panel and decorated with a typical stylised rose decoration in pink and green.,Lighting,Wall Light,1910,1910,Unknown
44,2.36.2,"Mackintosh, Charles Rennie",Hill House / Drawing Room,One of a set of five wall light fittings. The fitting is a cuboid and made of silvered metal and leaded glass. The light is fitted with an opaque glass panel and decorated with a typical stylised rose decoration in pink and green.,Lighting,Wall Light,1910,1910,Unknown
45,2.36.3,"Mackintosh, Charles Rennie",Hill House / Drawing Room,One of a set of five wall light fittings. The fitting is a cuboid and made of silvered metal and leaded glass. The light is fitted with an opaque glass panel and decorated with a typical stylised rose decoration in pink and green.,Lighting,Wall Light,1910,1910,Unknown
46,2.36.4,"Mackintosh, Charles Rennie",Hill House / Drawing Room,One of a set of five wall light fittings. The fitting is a cuboid and made of silvered metal and leaded glass. The light is fitted with an opaque glass panel and decorated with a typical stylised rose decoration in pink and green.,Lighting,Wall Light,1910,1910,Unknown
